(1, 210)(8, 210)(27, 21)
(10, 120)(5, 210)(2, 21)
(9, 120)(12, 21)(25, 210)

(16, 210)(11, 210)(24, 120)
(13, 120)(14, 210)(15, 210)
(26, 12)(17, 12)(22, 21)

(3, 210)(18, 21)(21, 102)
(6, 12)(23, 210)(20, 201)
(7, 12)(4, 201)(19, 210)

(3, 201)(20, 210)(25, 201)
(10, 102)(5, 201)(2, 21)
(27, 210)(6, 102)(9, 21)

(26, 12)(11, 12)(16, 201)
(13, 210)(14, 210)(15, 120)
(24, 21)(17, 12)(4, 21)

(1, 12)(12, 12)(21, 21)
(18, 120)(23, 210)(8, 201)
(19, 120)(22, 201)(7, 210)

(19, 120)(16, 21)(9, 201)
(24, 12)(5, 201)(8, 21)
(25, 201)(12, 12)(1, 210)

(6, 21)(11, 210)(2, 12)
(13, 210)(14, 210)(15, 210)
(26, 12)(17, 12)(22, 120)

(21, 120)(4, 201)(27, 12)
(18, 102)(23, 210)(10, 120)
(7, 201)(20, 120)(3, 21)

(21, 210)(12, 21)(19, 21)
(8, 201)(5, 201)(4, 12)
(3, 21)(18, 21)(27, 201)

(2, 12)(11, 12)(10, 210)
(13, 120)(14, 210)(15, 120)
(20, 12)(17, 12)(16, 210)

(1, 120)(26, 210)(7, 12)
(6, 210)(23, 201)(22, 210)
(9, 102)(24, 102)(25, 120)

(7, 12)(18, 12)(1, 120)
(22, 12)(5, 201)(24, 12)
(9, 12)(20, 210)(25, 210)

(4, 120)(11, 210)(26, 12)
(13, 210)(14, 210)(15, 120)
(8, 102)(17, 210)(2, 12)

(3, 210)(16, 21)(21, 210)
(6, 12)(23, 201)(12, 102)
(19, 201)(10, 12)(27, 21)

(3, 120)(4, 102)(1, 12)
(18, 120)(5, 210)(20, 201)
(25, 12)(6, 102)(27, 201)

(26, 102)(11, 12)(2, 12)
(13, 210)(14, 210)(15, 210)
(8, 12)(17, 210)(16, 210)

(19, 21)(22, 102)(21, 210)
(24, 12)(23, 210)(10, 120)
(7, 12)(12, 21)(9, 201)

(3, 120)(4, 102)(27, 210)
(24, 12)(5, 201)(16, 102)
(1, 201)(20, 210)(9, 21)

(18, 201)(11, 12)(2, 12)
(13, 210)(14, 210)(15, 210)
(8, 12)(17, 12)(26, 12)

(25, 201)(6, 102)(19, 12)
(22, 210)(23, 210)(10, 120)
(21, 210)(12, 21)(7, 21)

(19, 12)(2, 120)(27, 102)
(8, 21)(5, 201)(4, 210)
(7, 102)(20, 120)(1, 102)

(6, 120)(11, 210)(24, 21)
(13, 120)(14, 210)(15, 120)
(10, 210)(17, 12)(12, 201)

(3, 102)(26, 210)(9, 210)
(22, 12)(23, 210)(18, 102)
(21, 210)(16, 12)(25, 201)

(7, 12)(6, 201)(25, 201)
(10, 120)(5, 201)(24, 12)
(3, 21)(4, 102)(1, 210)

(2, 102)(11, 210)(20, 12)
(13, 210)(14, 210)(15, 210)
(8, 102)(17, 12)(16, 201)

(27, 210)(22, 102)(21, 102)
(26, 21)(23, 201)(12, 120)
(9, 102)(18, 21)(19, 21)

(7, 201)(24, 201)(3, 210)
(2, 21)(5, 210)(16, 102)
(21, 120)(10, 12)(9, 210)

(8, 12)(11, 12)(4, 120)
(13, 210)(14, 210)(15, 120)
(26, 12)(17, 12)(20, 12)

(27, 210)(22, 201)(25, 102)
(12, 102)(23, 201)(6, 210)
(1, 21)(18, 12)(19, 21)

(25, 21)(6, 201)(27, 102)
(8, 21)(5, 201)(18, 102)
(19, 21)(12, 21)(1, 21)

(16, 201)(11, 210)(20, 12)
(13, 210)(14, 210)(15, 120)
(4, 120)(17, 210)(2, 102)

(9, 120)(10, 12)(21, 102)
(22, 210)(23, 210)(26, 201)
(3, 201)(24, 102)(7, 102)

(25, 210)(10, 12)(7, 210)
(20, 21)(5, 201)(2, 21)
(27, 210)(16, 12)(1, 21)

(12, 210)(11, 12)(22, 21)
(13, 120)(14, 210)(15, 210)
(4, 120)(17, 12)(24, 120)

(21, 120)(8, 210)(3, 12)
(26, 201)(23, 210)(6, 12)
(9, 21)(18, 21)(19, 21)

(19, 201)(22, 201)(1, 12)
(26, 21)(5, 201)(2, 201)
(7, 21)(20, 210)(9, 210)

(6, 21)(11, 12)(24, 120)
(13, 210)(14, 210)(15, 210)
(12, 210)(17, 210)(10, 210)

(27, 210)(4, 102)(25, 21)
(8, 201)(23, 210)(16, 120)
(21, 102)(18, 12)(3, 21)

(21, 21)(24, 102)(1, 120)
(22, 210)(5, 210)(26, 21)
(3, 21)(18, 21)(9, 210)

(2, 12)(11, 210)(12, 201)
(13, 210)(14, 210)(15, 210)
(20, 12)(17, 12)(10, 201)

(27, 102)(6, 102)(7, 120)
(4, 210)(23, 201)(8, 21)
(25, 102)(16, 21)(19, 210)

(7, 12)(18, 12)(3, 102)
(2, 21)(5, 201)(12, 120)
(9, 120)(4, 102)(25, 21)

(26, 102)(11, 12)(22, 120)
(13, 120)(14, 210)(15, 210)
(16, 201)(17, 210)(8, 102)

(19, 102)(20, 120)(27, 12)
(10, 102)(23, 201)(6, 210)
(1, 210)(24, 201)(21, 201)

(9, 21)(10, 21)(3, 210)
(12, 120)(5, 201)(2, 21)
(25, 201)(18, 21)(7, 12)

(24, 21)(11, 210)(16, 201)
(13, 120)(14, 210)(15, 120)
(6, 21)(17, 210)(4, 21)

(21, 12)(26, 210)(27, 12)
(8, 201)(23, 210)(20, 21)
(1, 102)(22, 201)(19, 21)

(25, 210)(6, 201)(3, 21)
(16, 102)(5, 201)(8, 201)
(19, 102)(2, 210)(9, 210)

(10, 201)(11, 210)(26, 102)
(13, 210)(14, 210)(15, 120)
(22, 21)(17, 210)(4, 120)

(7, 21)(18, 12)(21, 210)
(24, 12)(23, 201)(12, 102)
(27, 120)(20, 210)(1, 12)

(1, 21)(8, 210)(9, 120)
(24, 210)(5, 210)(20, 21)
(25, 12)(2, 120)(27, 201)

(6, 120)(11, 210)(26, 102)
(13, 120)(14, 210)(15, 210)
(18, 201)(17, 12)(10, 201)

(7, 102)(16, 12)(19, 12)
(22, 210)(23, 201)(4, 12)
(21, 21)(12, 21)(3, 21)

(19, 12)(18, 21)(27, 210)
(24, 12)(5, 210)(12, 102)
(3, 210)(26, 120)(21, 210)

(10, 210)(11, 12)(20, 12)
(13, 120)(14, 210)(15, 120)
(2, 12)(17, 210)(4, 21)

(1, 120)(8, 210)(7, 201)
(16, 120)(23, 210)(22, 12)
(25, 210)(6, 102)(9, 120)

(25, 21)(8, 210)(3, 21)
(16, 120)(5, 210)(26, 21)
(21, 12)(22, 201)(19, 201)

(18, 201)(11, 210)(2, 12)
(13, 210)(14, 210)(15, 210)
(6, 21)(17, 12)(10, 201)

(7, 102)(20, 210)(9, 210)
(4, 210)(23, 210)(12, 120)
(27, 201)(24, 102)(1, 201)

(19, 120)(22, 102)(9, 12)
(12, 120)(5, 201)(4, 210)
(3, 210)(2, 120)(7, 120)

(26, 102)(11, 12)(18, 201)
(13, 120)(14, 210)(15, 210)
(8, 12)(17, 12)(10, 201)

(25, 120)(20, 210)(1, 210)
(16, 102)(23, 210)(24, 210)
(27, 12)(6, 201)(21, 120)

(27, 201)(10, 12)(7, 102)
(6, 210)(5, 201)(22, 210)
(3, 102)(2, 210)(25, 210)

(8, 102)(11, 12)(20, 12)
(13, 120)(14, 210)(15, 120)
(18, 210)(17, 12)(26, 102)

(21, 12)(16, 21)(1, 21)
(24, 210)(23, 201)(12, 120)
(19, 201)(4, 201)(9, 120)

(7, 12)(26, 120)(21, 201)
(20, 201)(5, 201)(22, 12)
(19, 102)(12, 12)(27, 201)

(18, 201)(11, 12)(10, 210)
(13, 120)(14, 210)(15, 210)
(6, 21)(17, 12)(2, 102)

(3, 21)(24, 102)(1, 21)
(16, 120)(23, 210)(8, 21)
(9, 210)(4, 102)(25, 120)

(1, 21)(8, 120)(21, 201)
(18, 102)(5, 201)(6, 12)
(25, 12)(4, 102)(19, 201)

(26, 12)(11, 12)(10, 210)
(13, 120)(14, 210)(15, 210)
(20, 12)(17, 210)(16, 210)

(27, 102)(22, 201)(9, 210)
(12, 102)(23, 201)(2, 21)
(3, 120)(24, 201)(7, 210)

(7, 120)(2, 210)(19, 21)
(22, 210)(5, 201)(4, 210)
(27, 21)(8, 210)(25, 210)

(26, 12)(11, 210)(10, 201)
(13, 210)(14, 210)(15, 120)
(6, 120)(17, 210)(24, 120)

(21, 12)(18, 12)(3, 12)
(16, 120)(23, 201)(20, 21)
(9, 210)(12, 21)(1, 201)

(27, 12)(6, 102)(7, 102)
(22, 210)(5, 210)(8, 21)
(19, 102)(16, 12)(25, 21)

(24, 120)(11, 210)(20, 12)
(13, 120)(14, 210)(15, 210)
